dates,gdp,real_gdp,cpi,core_cpi,fedfunds,emratio,wti_oil,divisia_m3,gscpi,gov_total,gov_current,total_par,total_market,private_par,private_market
2011.03,0.01236,0.01117,0.00450,0.00535,0.08,58.30,0.047351,0.003967,-0.51083,0.00455,0.000708,0.03288,0.05727,0.03880,0.04672
2011.04,0.01420,0.00835,0.00562,0.00523,0.07,58.50,0.089728,0.003943,-0.40547,-0.00748,-0.003217,0.02709,0.03023,0.03824,0.04037
2012.01,0.00857,0.00445,0.00210,0.00490,0.10,58.50,-0.095913,0.011089,0.00000,-0.00180,-0.000392,0.02323,0.01581,0.04026,0.03995
2012.02,0.00691,0.00144,0.00449,0.00453,0.15,58.50,-0.013028,0.009393,1.25276,0.00154,0.001176,0.01687,0.02793,0.02542,0.03010
2012.03,0.00616,0.00116,0.00663,0.00464,0.14,58.50,-0.045566,0.015864,-1.94591,0.00656,-0.002067,0.01636,0.01229,0.02876,0.02989
2012.04,0.01378,0.00982,0.00401,0.00504,0.16,58.70,0.067858,0.022186,0.69315,-0.00653,-0.002848,0.01830,0.01044,0.02256,0.01982
2013.01,0.00482,0.00267,-0.00112,0.00228,0.14,58.60,-0.001379,0.002371,0.91629,0.00176,0.004576,0.02113,0.01803,0.02071,0.01792
2013.02,0.01337,0.00848,0.00542,0.00535,0.12,58.60,0.116107,0.007097,0.33647,0.00336,-0.000615,-0.00143,-0.02438,-0.01248,-0.02958
2013.03,0.01395,0.00868,0.00368,0.00443,0.08,58.70,-0.083530,0.009296,-0.84730,0.00080,-0.000329,0.00827,-0.00069,0.00027,-0.00544
2013.04,0.00033,-0.00346,0.00622,0.00386,0.09,58.50,0.014381,0.007959,0.69315,0.00601,0.012361,0.02399,0.01962,0.01334,0.01088
2014.01,0.01848,0.01284,0.00529,0.00515,0.07,58.80,0.045530,0.011533,0.00000,0.01156,0.014731,0.01361,0.01604,0.01137,0.00929
2014.02,0.01618,0.01208,0.00257,0.00412,0.09,58.90,-0.055401,0.008003,0.15415,0.01180,0.014232,0.00501,0.00909,-0.00313,-0.00234
2014.03,0.00604,0.00504,-0.00249,0.00398,0.09,59.00,-0.290071,0.003211,-0.15415,0.00554,-0.001273,0.01267,0.01412,0.01482,0.01224
2014.04,0.00842,0.00897,-0.00652,0.00350,0.10,59.30,-0.410261,0.012508,0.00000,0.00512,0.011032,0.01335,0.02623,0.01653,0.02016
2015.01,0.01190,0.00617,0.00682,0.00602,0.11,59.20,0.175465,0.016063,-0.69315,-0.00805,0.005165,0.00425,0.00384,0.00903,0.01159
2015.02,0.00664,0.00399,0.00375,0.00495,0.12,59.40,-0.220123,0.003616,0.69315,0.02721,0.005288,-0.00008,-0.01050,0.00144,-0.00001
2015.03,0.00182,0.00184,-0.00004,0.00530,0.14,59.30,-0.101252,0.013806,-0.40547,0.00328,0.009546,-0.00003,0.00052,0.00126,0.00084
2015.04,0.00491,0.00578,-0.00063,0.00519,0.16,59.40,-0.234531,0.007606,0.40547,0.01062,0.008330,0.04150,0.03804,0.04927,0.04750
2016.01,0.00998,0.00321,0.00796,0.00658,0.36,59.80,0.313785,0.014964,-0.18232,0.00058,0.004241,0.01426,0.02751,0.01864,0.02832
2016.02,0.00962,0.00707,0.00425,0.00517,0.37,59.70,-0.012409,0.013339,-0.22314,0.01397,0.011847,0.00859,0.01554,0.00774,0.01061
2016.03,0.01036,0.00553,0.00630,0.00462,0.40,59.80,0.091350,0.007465,-1.38629,0.00744,0.005996,0.01393,0.00878,0.02136,0.01875
2016.04,0.00994,0.00486,0.00704,0.00516,0.45,59.70,0.052137,0.006543,0.00000,0.00667,0.004015,0.01638,-0.01370,0.01942,0.00382
2017.01,0.00819,0.00558,0.00115,0.00267,0.70,60.00,-0.070622,0.012791,0.00000,0.00458,0.000782,-0.00351,-0.00184,-0.00506,-0.00372
2017.02,0.01298,0.00785,0.00478,0.00385,0.95,60.10,-0.001660,0.011422,-0.02904,0.01636,0.013833,-0.00193,0.00065,-0.00135,-0.00098
2017.03,0.01734,0.01121,0.00792,0.00577,1.15,60.20,0.139509,0.012744,-0.02904,0.00882,0.015488,0.01657,0.01572,0.02161,0.02084
2017.04,0.01444,0.00810,0.00838,0.00718,1.20,60.10,0.127349,0.008980,0.15415,0.01399,0.017920,0.01712,0.00708,0.02120,0.01308
2018.01,0.01234,0.00529,0.00544,0.00519,1.45,60.30,0.078562,0.004992,-0.55962,0.01635,0.012490,0.02306,0.00933,0.03852,0.02992
2018.02,0.01053,0.00622,0.00402,0.00361,1.74,60.50,0.025112,0.010440,0.00000,0.01259,0.013036,0.01010,0.00895,0.01768,0.01690
2018.03,0.00571,0.00142,0.00404,0.00572,1.92,60.40,-0.166168,0.009089,0.22314,0.01189,0.017827,0.01596,0.00998,0.02868,0.02591
2018.04,0.00886,0.00542,0.00277,0.00626,2.22,60.60,-0.074655,0.011127,0.00000,0.02060,0.020496,0.01731,0.02654,0.02562,0.03386
2019.01,0.01321,0.00826,0.00712,0.00489,2.40,60.60,0.086434,0.013522,-1.60944,0.01185,0.010270,0.00552,0.01613,0.01444,0.02422
2019.02,0.01437,0.01126,0.00336,0.00578,2.40,60.60,-0.058734,0.014896,1.60944,0.01257,0.008384,-0.00150,0.01889,0.00379,0.02066
2019.03,0.00955,0.00639,0.00704,0.00586,2.19,60.90,0.010412,0.017943,-0.02904,0.01237,0.003185,0.03153,0.04799,0.03971,0.05203
2019.04,-0.00898,-0.01372,0.00352,0.00582,1.64,61.00,-0.218939,0.019924,-0.02904,0.00818,0.016171,0.01907,0.01402,0.01121,0.00864
2020.01,-0.08623,-0.08220,-0.00963,-0.00462,1.26,60.70,-0.498015,0.053318,3.13549,0.35670,0.595024,0.03631,0.07454,0.00515,0.02192
2020.02,0.08352,0.07473,0.01133,0.00929,0.06,52.90,0.385490,0.101336,0.08338,-0.10028,-0.215973,0.08861,0.09012,0.07887,0.06399
2020.03,0.01726,0.01030,0.00692,0.00576,0.09,56.10,0.037441,0.011868,-1.27297,-0.13717,-0.193407,0.02584,0.01716,0.02528,0.02354
2020.04,0.02580,0.01277,0.01025,0.00399,0.09,57.40,0.308489,0.019205,0.53900,0.26237,0.331860,0.02649,0.01756,0.01927,0.01715
2021.01,0.03017,0.01508,0.01815,0.01746,0.08,57.60,0.134202,0.028110,0.65059,-0.15353,-0.071993,0.01473,-0.01220,0.00864,0.00172
2021.02,0.02278,0.00811,0.01599,0.01247,0.07,58.00,0.066296,0.029735,0.23180,-0.03687,-0.132512,0.01118,0.01593,0.00254,0.00307
2021.03,0.03406,0.01683,0.02110,0.01515,0.09,58.60,0.092319,0.018369,0.18805,-0.04496,-0.091266,0.00712,0.00502,-0.00369,-0.00852
2021.04,0.01508,-0.00499,0.02193,0.01621,0.08,59.30,0.198438,0.022632,0.15822,-0.04789,-0.025099,0.03182,0.02187,0.02810,0.01892
2022.01,0.02037,-0.00141,0.02307,0.01458,0.12,59.90,0.140705,0.004750,-0.31237,0.05191,0.009575,0.02815,-0.01362,0.03633,0.01282
2022.02,0.01748,0.00656,0.01349,0.01494,0.77,59.90,-0.154243,0.001736,-0.26570,0.01353,0.013099,0.00654,-0.02066,0.00547,-0.00738
2022.03,0.01579,0.00634,0.01017,0.01246,2.19,60.00,-0.118226,-0.002311,-0.73760,0.03119,0.018190,0.01559,-0.02387,0.02651,-0.00071
2022.04,0.01544,0.00676,0.00988,0.00974,3.65,60.00,0.014893,0.013627,-0.02904,0.01606,0.016329,0.020386,0.020200,0.020000,0.019931
